CameraLabel, X, Y, Z, Roll, Pitch, Yaw, RotX, RotY, RotZ
uhi_20210122_111150_1_00000,2780607.4870207803,539460.5372305484,5695520.3512740005,-3.2095657234229016,3.840605918490622,148.95028536923928,161.11835932156342,10.17003038114025,-49.59507928290297
uhi_20210122_111150_1_00001,2780607.4894424886,539460.534376485,5695520.352448906,-3.2354148580808153,3.765925988007927,148.97012641286324,161.04162448787574,10.139284962712669,-49.60109220629753
uhi_20210122_111150_1_00002,2780607.489529045,539460.5285252318,5695520.352739628,-3.2811113046599036,3.731585963650467,148.9766539181295,161.00887772639499,10.094188140833234,-49.590230335673255
uhi_20210122_111150_1_00003,2780607.4886240805,539460.5222291157,5695520.351689888,-3.352434480141676,3.716006761512733,148.9841372998511,160.99594003226437,10.024156800650033,-49.572783073420425
uhi_20210122_111150_1_00004,2780607.4895255794,539460.5219166981,5695520.34890784,-3.54096459575133,3.5832239527279057,149.00546488177085,160.87078454361762,9.840354006268797,-49.52253520814306
uhi_20210122_111150_1_00005,2780607.494421844,539460.5238663991,5695520.342843113,-3.581550949802483,3.5750555149120533,149.040279286113,160.85731353421497,9.788755123291253,-49.5410731995454
uhi_20210122_111150_1_00006,2780607.502827736,539460.5306815893,5695520.333264114,-3.55483504891593,3.6293113082392345,149.05292887609176,160.90660515184084,9.808014010601052,-49.565007451092235
uhi_20210122_111150_1_00007,2780607.5097756293,539460.5377169905,5695520.323209837,-3.474325810122457,3.849023959527847,149.03196509157556,161.12377967619702,9.887847515010254,-49.58492889458413
uhi_20210122_111150_1_00008,2780607.514905718,539460.5444708564,5695520.311568505,-3.374380430844741,3.873206922561048,148.99462666724222,161.15026679719173,9.996360416007796,-49.58422087466471
uhi_20210122_111150_1_00009,2780607.5195141025,539460.5513398367,5695520.298430659,-3.294698562195304,3.832245532784498,149.00653341662039,161.10258317484326,10.067935495564056,-49.61924062247706
uhi_20210122_111150_1_00010,2780607.522973493,539460.5591783688,5695520.282218067,-3.316913844600015,3.6927028744542456,149.00905424686002,160.96534634821427,10.048568971553221,-49.60653632503182
uhi_20210122_111150_1_00011,2780607.5276366193,539460.5673295746,5695520.263896908,-3.3402120149685754,3.5103018172209866,148.99057593061136,160.79046061464376,10.037153407766207,-49.571344139838445
uhi_20210122_111150_1_00012,2780607.5346214534,539460.5784681444,5695520.243520391,-3.407358665003225,3.348877269984343,148.99672855991884,160.63344991048984,9.974541216783892,-49.54546943769733
uhi_20210122_111150_1_00013,2780607.545071137,539460.591237476,5695520.224136162,-3.404363928194318,3.315152295780454,149.00313291867093,160.59852496792482,9.975561874485006,-49.55054689775556
uhi_20210122_111150_1_00014,2780607.555593879,539460.6064906107,5695520.205153987,-3.45794684661214,3.3577998174657764,148.94439311212344,160.65680336923145,9.946807619322632,-49.480030742493554
uhi_20210122_111150_1_00015,2780607.5685069277,539460.6242103645,5695520.18578867,-3.4844208176369817,3.411558846278371,148.85457263321766,160.73140085135242,9.955340609932795,-49.3902863590297
uhi_20210122_111150_1_00016,2780607.5840251762,539460.6426447111,5695520.166728073,-3.4322099747971584,3.495278273438333,148.77392455052996,160.8290442703336,10.034018504751327,-49.337158856340665
